videoId,videoTitle,comment,author,likeCount,publishedAt
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,iPhone illathe epozhum iphone review kanumavru ivide coment,@Susheela-u8u,88,2025-11-10T15:22:50Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Editor cooked here,@Ryan_yoyo,119,2025-11-07T10:42:07Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Watching this on iphone 17,@shahanas__shah8993,17,2026-04-26T04:55:28Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,now days shaz making is at the peak,@jarshajjnp,2,2025-11-08T10:30:28Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Watching this iphone17 review from new iphone 17,@thoufiq__hussain,22,2025-11-07T10:22:01Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Bro editing nice ayittund epoo,@AbhijithMohan-kzr,0,2025-11-08T05:59:56Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Using iphone 17 for almost 2 months . completely satisfied with this price,@gokuldas3350,7,2025-11-09T04:38:49Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,9 00 athoke atre ullu,@alen7191,12,2025-11-07T16:52:30Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,First comment cheythavarude sredhakk shazaam annan fist comments inu give away onum tharanillaa,@CR--SHIVAN--69,13,2025-11-07T09:19:06Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Shazzee video editor thookki,@Brutx-911,0,2025-11-07T16:10:17Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Thank you shazz bro for considering my comment in the earliest video and doing this video. Love from kochi .,@AldrinAntonyXavier,0,2025-11-07T12:04:58Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Valya monitor pwly gaming expression browe,@anshajlogan1040,6,2025-11-07T17:41:16Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"Background pink panther ,angry birds tune oke editor brilliance",@MeowBunnyAi,5,2025-11-07T18:10:10Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Watching from my I phone 17,@vyshakhsajeev,9,2026-02-03T12:21:54Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"I have been using a smartphone since 2015. Every previous phone I used would hang when storage went above 90 . But currently, I am using an S23 FE, the 128GB variant. It's now 124GB full, but it still works with no lag at all. Buttery smooth. I asked ChatGPT why this happened , and it said it's because of UFS 3.1.",@MELVINMJO,5,2025-11-09T09:09:14Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Uh r a great techy bt at tyms i feel lyk uh becom vry casual in tech videos.. jst slayin.. als givin so much infoms..,@rihaanrk6,0,2025-11-13T17:36:43Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,one of the best iPhone review evvaaa,@MohammedAshraf-jl4ce,0,2025-11-09T15:12:50Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Agane njanum iPhone 17 eduthu Amma eduth thannu tnk u Amma adipolli phone,@JonathJomon-g7l,6,2026-04-25T05:18:36Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Finally njan agrahicha review ethy,@akarshsivan478,0,2025-11-07T15:25:21Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"5days before I brought 17 from iphone phobias without any price change, this isn't fair",@anwinksdutt7397,2,2025-11-10T14:08:55Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"To improve your battery life on iP17, update to iOS 26.1 speaking from experience",@nndn3889,13,2025-11-08T03:08:22Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Watching on iPhone 17,@abh1yy,3,2026-04-13T16:49:37Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Tagline correct aayi.. Finally Apple,@Sreejith_k85,2,2025-11-07T09:36:12Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Bro 5g vs 4g of various brands and why 5g uses more battery ethine patti oru vedio cheyyamo,@Mahadev-25b,1,2025-11-07T16:25:58Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"Eduthu ,my first iphone",@harishankar5160,5,2026-02-08T08:29:57Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,Thanks for the reminder about storage,@Shahilism,1,2025-11-07T11:47:29Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"5 03 Not only based on use scenerio. smartphone brands battery nallareethiyil hardware and software levelil optimise cheydhittillel 6000 alla 10,000 mah unddaayittum kaaryam illa. chila brands okke optimise cheyyaanulla laziness ulla poleyokkeya orupaad mah ulla battery yokke kodukkunnadh ennu thonnum.",@vaeventsandcaters1989,1,2025-11-07T13:18:45Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,What a name style from your glasses. Like so nice,@bayuadhinugroho90,0,2026-04-10T17:48:49Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,video playback speed custom aakkiyathanno ikka ?,@LimitlessPhotography,1,2025-11-08T07:06:03Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"Bro serious question, secondary memory almost full avunath ekkana phone nde speed ine effect cheyyune? swap availability issue kond ano?",@c......h-l8o,1,2025-11-07T10:17:16Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,The best all rounder phone from Apple,@VoltR-m8x,1,2025-11-08T01:22:18Z
slOtZZmLX0I,iPhone 17 | My Review | Best iPhone Evaaa !!! | Sale King !! | Malayalam,"As a long term user of a couple of apple devices.....I would say ....once we start integrating apple devices for our personal professional life, we will be thrilled to be part of an ecosystem that's optimised in such a way that all these devices ....The iphone, MacBook, Airpods, iPad apple watch .... work together how these devices and softwares support each other to make the whole user experience seamless intuitive......Hats off to proud to be part of ECOSYSTEM....",@Vitroye-e7m,3,2026-02-07T18:28:32Z
